entity_id,row_count,first_timestamp_utc,last_timestamp_utc
sensor.kitchen_temp_temperature,506,2026-08-12T06:00:00Z,2026-08-18T19:54:51.614922Z
sensor.bed_1_temp_temperature,491,2026-08-12T06:00:00Z,2026-08-18T19:58:54.323233Z
sensor.bed_2_temp_temperature,464,2026-08-12T06:00:00Z,2026-08-18T19:39:00.419014Z
sensor.bed_3_temp_temperature,483,2026-08-12T06:00:00Z,2026-08-18T20:01:56.194240Z
sensor.bed_1_temperature_delta,988,2026-08-12T06:00:00Z,2026-08-18T19:58:54.323706Z
sensor.bed_2_temperature_delta,961,2026-08-12T06:00:00Z,2026-08-18T19:54:51.615752Z
sensor.bed_3_temperature_delta,980,2026-08-12T06:00:00Z,2026-08-18T20:01:56.194724Z
sensor.bed_1_booster_target_speed,313,2026-08-12T06:00:00Z,2026-08-18T18:09:50.003349Z
sensor.bed_2_booster_target_speed,386,2026-08-12T06:00:00Z,2026-08-18T19:08:59.438125Z
sensor.bed_3_booster_target_speed,304,2026-08-12T06:00:00Z,2026-08-18T17:09:49.882279Z
sensor.bed_1_booster_effective_percentage,449,2026-08-12T06:00:00Z,2026-08-18T19:40:00.456607Z
sensor.bed_2_booster_effective_percentage,516,2026-08-12T06:00:00Z,2026-08-18T19:08:59.439973Z
sensor.bed_3_booster_effective_percentage,388,2026-08-12T06:00:00Z,2026-08-18T17:09:49.885159Z
sensor.kitchen_temperature,246,2026-08-12T06:00:00Z,2026-08-18T18:54:55.426291Z
sensor.bed_1_booster_adaptive_boost,128,2026-08-12T06:00:00Z,2026-08-18T19:40:00.455346Z
sensor.bed_2_booster_adaptive_boost,137,2026-08-12T06:00:00Z,2026-08-18T16:37:56.969766Z
sensor.bed_3_booster_adaptive_boost,85,2026-08-12T06:00:00Z,2026-08-18T16:37:56.970320Z
sensor.bed_1_booster_pi_target_speed,434,2026-08-12T06:00:00Z,2026-08-18T19:40:00.455929Z
sensor.bed_2_booster_pi_target_speed,516,2026-08-12T06:00:00Z,2026-08-18T19:08:59.439608Z
sensor.bed_3_booster_pi_target_speed,382,2026-08-12T06:00:00Z,2026-08-18T17:09:49.883829Z
climate.kitchen,759,2026-08-12T06:00:00Z,2026-08-18T18:54:55.418307Z
sensor.ac_power_total,18829,2026-08-12T06:00:00Z,2026-08-18T07:24:18.596562Z
sensor.furnace_power_total,15511,2026-08-12T06:00:00Z,2026-08-18T20:03:53.554800Z
