minute_utc,entity_id,recorded_changes,min_w,avg_recorded_w,max_w,last_w
2026-08-12T06:00:00Z,sensor.ac_power_total,9,2116.73,2119.404,2123.45,2116.73
2026-08-12T06:00:00Z,sensor.furnace_power_total,5,276.83,277.046,277.6,276.94
2026-08-12T06:01:00Z,sensor.ac_power_total,8,2111.32,2113.057,2114.77,2111.32
2026-08-12T06:01:00Z,sensor.furnace_power_total,4,276.72,277.188,277.98,277.0
2026-08-12T06:02:00Z,sensor.ac_power_total,8,2106.53,2108.499,2110.76,2106.54
2026-08-12T06:02:00Z,sensor.furnace_power_total,4,276.87,277.168,277.85,277.03
2026-08-12T06:03:00Z,sensor.ac_power_total,8,2104.0,2105.041,2106.04,2105.37
2026-08-12T06:03:00Z,sensor.furnace_power_total,4,276.84,277.19,277.57,277.19
2026-08-12T06:04:00Z,sensor.ac_power_total,7,2104.26,2104.847,2105.51,2104.26
2026-08-12T06:04:00Z,sensor.furnace_power_total,4,277.12,277.335,277.53,277.53
2026-08-12T06:05:00Z,sensor.ac_power_total,8,2102.13,2102.775,2103.67,2102.7
2026-08-12T06:05:00Z,sensor.furnace_power_total,4,276.93,277.3,277.71,277.37
2026-08-12T06:06:00Z,sensor.ac_power_total,8,2102.63,2103.262,2104.07,2103.86
2026-08-12T06:06:00Z,sensor.furnace_power_total,4,276.89,277.23,277.57,276.89
2026-08-12T06:07:00Z,sensor.ac_power_total,8,2097.38,2100.116,2102.78,2097.38
2026-08-12T06:07:00Z,sensor.furnace_power_total,4,277.02,277.365,277.94,277.94
2026-08-12T06:08:00Z,sensor.ac_power_total,8,2096.2,2096.916,2098.41,2098.41
2026-08-12T06:08:00Z,sensor.furnace_power_total,4,277.08,277.22,277.44,277.09
2026-08-12T06:09:00Z,sensor.ac_power_total,8,2096.75,2097.699,2099.2,2099.2
2026-08-12T06:09:00Z,sensor.furnace_power_total,4,277.07,277.215,277.38,277.33
2026-08-12T06:10:00Z,sensor.ac_power_total,8,2099.29,2100.553,2101.58,2101.11
2026-08-12T06:10:00Z,sensor.furnace_power_total,4,277.15,277.303,277.49,277.15
2026-08-12T06:11:00Z,sensor.ac_power_total,8,2101.78,2103.495,2106.18,2106.18
2026-08-12T06:11:00Z,sensor.furnace_power_total,4,277.03,277.505,278.2,277.57
2026-08-12T06:12:00Z,sensor.ac_power_total,8,2102.12,2104.289,2105.51,2102.12
2026-08-12T06:12:00Z,sensor.furnace_power_total,4,276.88,277.387,277.8,277.58
2026-08-12T06:13:00Z,sensor.ac_power_total,8,2099.55,2100.561,2101.82,2101.82
2026-08-12T06:13:00Z,sensor.furnace_power_total,4,277.35,277.465,277.62,277.35
2026-08-12T06:14:00Z,sensor.ac_power_total,8,2100.51,2101.477,2102.06,2100.51
2026-08-12T06:14:00Z,sensor.furnace_power_total,4,277.33,277.543,277.81,277.43
2026-08-12T06:15:00Z,sensor.ac_power_total,8,2103.12,2105.125,2107.22,2103.12
2026-08-12T06:15:00Z,sensor.furnace_power_total,4,277.07,277.49,277.8,277.07
2026-08-12T06:16:00Z,sensor.ac_power_total,8,2099.85,2103.804,2108.14,2108.14
2026-08-12T06:16:00Z,sensor.furnace_power_total,4,277.52,277.783,278.03,277.6
2026-08-12T06:17:00Z,sensor.ac_power_total,8,2102.38,2103.616,2106.67,2103.07
2026-08-12T06:17:00Z,sensor.furnace_power_total,4,277.3,277.673,277.95,277.74
2026-08-12T06:18:00Z,sensor.ac_power_total,8,2101.32,2103.847,2106.58,2101.32
2026-08-12T06:18:00Z,sensor.furnace_power_total,4,277.05,277.472,277.84,277.84
2026-08-12T06:19:00Z,sensor.ac_power_total,8,2096.2,2097.765,2099.3,2096.2
2026-08-12T06:19:00Z,sensor.furnace_power_total,4,277.24,277.49,277.63,277.47
2026-08-12T06:20:00Z,sensor.ac_power_total,8,2098.61,2103.673,2106.86,2105.32
2026-08-12T06:20:00Z,sensor.furnace_power_total,4,276.94,277.683,278.64,276.94
2026-08-12T06:21:00Z,sensor.ac_power_total,8,2096.82,2101.984,2105.19,2096.82
2026-08-12T06:21:00Z,sensor.furnace_power_total,4,277.27,277.665,277.96,277.8
2026-08-12T06:22:00Z,sensor.ac_power_total,8,2089.94,2093.311,2097.25,2097.25
2026-08-12T06:22:00Z,sensor.furnace_power_total,4,277.17,277.623,277.89,277.17
2026-08-12T06:23:00Z,sensor.ac_power_total,8,2090.82,2093.735,2097.31,2090.82
2026-08-12T06:23:00Z,sensor.furnace_power_total,4,277.1,277.595,278.07,277.1
2026-08-12T06:24:00Z,sensor.ac_power_total,8,2080.69,2083.626,2088.24,2082.6
2026-08-12T06:24:00Z,sensor.furnace_power_total,4,277.26,277.45,277.55,277.51
2026-08-12T06:25:00Z,sensor.ac_power_total,8,2073.75,2079.026,2083.41,2073.75
2026-08-12T06:25:00Z,sensor.furnace_power_total,4,276.73,276.938,277.18,276.73
2026-08-12T06:26:00Z,sensor.ac_power_total,8,2071.66,2074.825,2078.25,2078.25
2026-08-12T06:26:00Z,sensor.furnace_power_total,4,276.94,277.09,277.18,276.94
2026-08-12T06:27:00Z,sensor.ac_power_total,8,2078.36,2080.374,2082.06,2081.07
2026-08-12T06:27:00Z,sensor.furnace_power_total,4,276.9,277.335,277.77,277.35
2026-08-12T06:28:00Z,sensor.ac_power_total,8,2073.12,2076.678,2080.42,2073.12
